Country, GDP_Per_Capita
United States,62795
Spain,30371
Italy,34483
France,41464
Germany,47603
United Kingdom,42944
Turkey,9370
Iran,5628
China,9771
Russia,11289
Brazil,8921
Belgium,47519
Canada,46233
Netherlands,53024
Switzerland,82797
India,2010
Czechia, 23079
Portugal,23408
Ecuador,6345
Peru,6941
Ireland,78806
Sweden,54608
Saudi Arabia,23339
Austria,51462
Israel,41715
Japan,39290
Chile,15923
Singapore,64582
Pakistan, 1482
Mexico,9673
Poland,15421
South Korea,31363
Romania,12301
United Arab Emirates, 43005
Belarus, 6290
Qatar, 68794
Denmark, 61350
Indonesia, 3894
Ukraine, 3095
Norway, 81697
Philippines, 3103
Australia, 57374
Serbia, 7247
Dominican Republic, 8051
Malaysia,11373
Panama,15575
